Product_Name,Stars,Ratings,Reviews,current_price,MRP,channel,Operating_system,Picture_qualtiy,Speaker,Frequency,Image_url,
acer,4.4,5449,897,â‚¹13999,â‚¹22990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kyxb9u80/television/v/4/t/-original-imagbfq5cns4qzhg.jpeg?q=70,
SAMSUNG,4.4,7344,883,â‚¹35999,â‚¹47900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels,20 W Speaker Output,50 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l47cu4w0/television/9/0/f/-original-imagf5qummst7t94.jpeg?q=70,
Thomson,4.4,67598,14655,â‚¹20999,â‚¹27999,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,30 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kjym9ow0/television/q/o/q/42path2121-42path2121-thomson-original-imafzff3gychx9ub.jpeg?q=70,
iFFALCON,4.3,18688,2568,â‚¹33999,â‚¹70990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l1tmf0w0/television/k/q/h/-original-imagdbysykjsyfgd.jpeg?q=70,
Mi,4.3,34983,3067,â‚¹21999,â‚¹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kp4difk0/television/y/z/0/l40m6-ei-mi-original-imag3fbyhsdgxxke.jpeg?q=70,
Adsun,3.8,6742,930,â‚¹8699,â‚¹21999,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/krntoy80/television/u/d/y/a-3200s-adsun-original-imag5edguuyn54fh.jpeg?q=70,
Vu,4.4,32043,4978,â‚¹27999,â‚¹45000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kx6fwcw0/television/w/5/8/-original-imag9zvwz5ffv9ec.jpeg?q=70,
OnePlus,4.4,8883,989,â‚¹40990,â‚¹49999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kuwzssw0/television/i/q/x/u-series-50-u1s-50uc1a00-oneplus-original-imag7xtnfn7yrfrn.jpeg?q=70,
Xiaomi,4.3,3120,305,â‚¹25999,â‚¹35999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/television/k/s/l/l43m7-eain-mi-original-imagdrtndgnrymr9.jpeg?q=70,
Croma,4.2,0,0,â‚¹11990,â‚¹25000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l1nwnm80/television/2/i/r/crel032hof024601-croma-original-imagd69t6mysezaw.jpeg?q=70,
Thomson,4.2,0,0,â‚¹9999,â‚¹14999,Prime Video|Youtube,Operating System: Linux,HD Ready 1366 x 768 Pixels,30 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l51d30w0/television/1/k/j/-original-imagfsyu8nrz5gzg.jpeg?q=70,
iFFALCON,4.3,15277,2435,â‚¹18999,â‚¹36990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/k7xnukw0/television/9/z/p/iffalcon-1080p-wide-angle-12mp-waterproof-under-water-portable-original-imafq2fncukhwrc4.jpeg?q=70,
Croma,4.2,1773,217,â‚¹7990,â‚¹20000,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty,https://rukminim1.flixcart.com/image/312/312/ku1k4280/television/p/f/6/crel7369-croma-original-imag7969pxhrwp2k.jpeg?q=70,
Adsun,3.8,6742,930,â‚¹8999,â‚¹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kzn17680/television/o/q/p/a-3210s-f-adsun-original-imagbhqzhafpzhyz.jpeg?q=70,
Yuwa,0,0,0,â‚¹8449,â‚¹21990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l432ikw0/television/l/y/n/y-32s-fl-sb-yuwa-original-imagf2gycdgufmbr.jpeg?q=70,
acer,4.4,5449,897,â‚¹25999,â‚¹31990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l0mr7gw0/television/9/k/i/-original-imagccy3vh26rts4.jpeg?q=70,
Mi,4.3,34983,3067,â‚¹16499,â‚¹19999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kf5pzm80/television/f/h/e/mi-l32m6-ei-original-imafvzefsh27shv6.jpeg?q=70,
Croma,3.9,0,0,â‚¹18990,â‚¹30000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l1nwnm80/television/0/d/b/crel040fof024601-croma-original-imagd69uunejcz4d.jpeg?q=70,
realme,4.3,197035,22679,â‚¹21999,â‚¹31999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l3uhvgw0/television/x/q/x/-original-imageuxkcg2fbdkg.jpeg?q=70,
SONY,4.6,844,174,â‚¹23990,â‚¹34900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kx9as280/television/d/e/b/-original-imag9rfguf6nevgd.jpeg?q=70,
realme,4.2,7279,982,â‚¹17999,â‚¹23999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1080 x 1920 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/e/e/g/rmv2003-realme-original-imag49agdvvhpejg.jpeg?q=70,
Adsun,3.8,6742,930,â‚¹16999,â‚¹39999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kzn17680/television/g/e/s/a-4300s-f-adsun-original-imagbhqpwyw8z8bp.jpeg?q=70,
Mi,4.3,40877,3658,â‚¹40999,â‚¹59999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/ksoz53k0/television/j/n/i/l50m6-es-mi-original-imag6774eyhv77fg.jpeg?q=70,
SAMSUNG,4.4,7344,883,â‚¹55490,â‚¹80900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l3nco7k0/television/t/3/k/-original-imageq5ekyzg27wa.jpeg?q=70,
MarQ,4.2,6251,764,â‚¹6999,â‚¹14999,HD Ready 1366 X 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty on Product,https://rukminim1.flixcart.com/image/312/312/ktyp8cw0/television/l/q/3/24hdndmsvab-marq-original-imag76pxgpuzzefz.jpeg?q=70,
SAMSUNG,4.4,7344,883,â‚¹35999,â‚¹47900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels,20 W Speaker Output,50 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l47cu4w0/television/9/0/f/-original-imagf5qummst7t94.jpeg?q=70,
Mi,4.3,40871,3658,â‚¹35999,â‚¹41999,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/e/p/w/l50m5-5ain-mi-original-imag4969ybwxqwza.jpeg?q=70,
SAMSUNG,4.3,6698,705,â‚¹49990,â‚¹69900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l3nco7k0/television/d/7/7/-original-imageq5ek3atjgse.jpeg?q=70,
LG,4.4,7541,658,â‚¹29999,â‚¹40990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/ked56kw0/television/r/m/a/lg-43lm5650pta-43lm5650pta-original-imafvfq5jpcjzh2m.jpeg?q=70,
Croma,4.2,1773,217,â‚¹7990,â‚¹20000,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty,https://rukminim1.flixcart.com/image/312/312/ku1k4280/television/p/f/6/crel7369-croma-original-imag7969pxhrwp2k.jpeg?q=70,
acer,4.4,5445,897,â‚¹25999,â‚¹34990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l4x2rgw0/television/g/a/e/-original-imagfpuzqvgj2wgk.jpeg?q=70,
realme,4.3,25089,2931,â‚¹29999,â‚¹32999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kosxzm80/television/a/7/8/rmv2004-realme-original-imag36hwea8zmnvy.jpeg?q=70,
SAMSUNG,4.3,7540,798,â‚¹17490,â‚¹20900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kk76wsw0/television/s/u/h/ua32te40fakbxl-samsung-original-imafzhzw3wzyzcgg.jpeg?q=70,
Adsun,3.8,6730,929,â‚¹8699,â‚¹21999,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/krntoy80/television/u/d/y/a-3200s-adsun-original-imag5edguuyn54fh.jpeg?q=70,
Coocaa,4.2,14815,2326,â‚¹10499,â‚¹36990,Youtube,Operating System: Coolita,HD Ready 1366 x768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/ksgehzk0/television/5/k/i/32s3u-pro-32s3u-pro-coocaa-original-imag6ygbqrnurwfg.jpeg?q=70,
realme,4.3,197032,22678,â‚¹24999,â‚¹35999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l3uhvgw0/television/g/c/c/-original-imageuxkfxhruvfx.jpeg?q=70,
SAMSUNG,4.4,7341,883,â‚¹35999,â‚¹47900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels,20 W Speaker Output,50 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l47cu4w0/television/9/0/f/-original-imagf5qummst7t94.jpeg?q=70,
Croma,4.3,0,0,â‚¹11990,â‚¹25000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l1nwnm80/television/2/i/r/crel032hof024601-croma-original-imagd69t6mysezaw.jpeg?q=70,
OnePlus,4.4,8883,989,â‚¹63990,â‚¹69999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kuwzssw0/television/u/i/r/u-series-65-u1s-65uc1a00-oneplus-original-imag7xtnmnkyz7je.jpeg?q=70,
SAMSUNG,4.4,7341,883,â‚¹47990,â‚¹71400,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l3nco7k0/television/1/a/v/-original-imageq5egguwvyyb.jpeg?q=70,
TOSHIBA,4.6,0,0,â‚¹22990,â‚¹34990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l3lx8cw0/television/i/u/g/-original-imagezheg2fgsfsb.jpeg?q=70,
Adsun,3.8,6730,929,â‚¹8999,â‚¹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kzn17680/television/o/q/p/a-3210s-f-adsun-original-imagbhqzhafpzhyz.jpeg?q=70,
Mi,4.4,663035,67204,â‚¹14999,â‚¹19999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/n/w/v/l32m5-al-mi-original-imag4967mvqvpvgp.jpeg?q=70,
Sansui,0,0,0,â‚¹10999,â‚¹17990,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,A+ Grade Panel,https://rukminim1.flixcart.com/image/312/312/l15bxjk0/television/u/g/9/jsy32nshd-sansui-original-imagcs7md9xmzwzz.jpeg?q=70,
Hisense,4.2,0,0,â‚¹13990,â‚¹24990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kzhbfrk0/television/l/v/9/32e4g-hisense-original-imagbh4zcbwkhnhy.jpeg?q=70,
Croma,3.9,0,0,â‚¹18990,â‚¹30000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l1nwnm80/television/0/d/b/crel040fof024601-croma-original-imagd69uunejcz4d.jpeg?q=70,
MOTOROLA,0,0,0,â‚¹54999,â‚¹63999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840Ã—2160 Pixels,60 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/ku1k4280/television/k/i/u/50uhdaqmdt5q-motorola-original-imag78tyhv4ha3zj.jpeg?q=70,
InnoQ,4.1,0,0,â‚¹7690,â‚¹21990,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,1 x HDMI | 2 x USB,A+ Grade Premium Dot Free Panel,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/television/p/5/4/-original-imagdun9cuwntsjf.jpeg?q=70,
SAMSUNG,4.3,6698,705,â‚¹45990,â‚¹68400,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l3nco7k0/television/z/p/t/-original-imageq5ehvxshfgh.jpeg?q=70,
Adsun,3.8,6730,929,â‚¹16999,â‚¹39999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kzn17680/television/g/e/s/a-4300s-f-adsun-original-imagbhqpwyw8z8bp.jpeg?q=70,
Vu,4.2,5635,632,â‚¹22999,â‚¹35000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920x1080 Pixels,30W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kynb6vk0/television/r/5/g/-original-imagatzzmayhsjzc.jpeg?q=70,
Mi,4.3,5490,400,â‚¹14999,â‚¹19999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/krtjgcw0/television/t/p/l/l32m6-inc-mi-original-imag5gq752cwaxyy.jpeg?q=70,
MOTOROLA,4.4,9687,1532,â‚¹22499,â‚¹30000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/television/v/k/n/40fhdadmvvee-motorola-original-imagdv4wzhh4zbdc.jpeg?q=70,
Croma,4.2,1773,217,â‚¹7990,â‚¹20000,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty,https://rukminim1.flixcart.com/image/312/312/ku1k4280/television/p/f/6/crel7369-croma-original-imag7969pxhrwp2k.jpeg?q=70,
Thomson,4.1,54251,7937,â‚¹9999,â‚¹14990,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,Thin Bezel Design,https://rukminim1.flixcart.com/image/312/312/k0tw13k0/television/h/a/m/thomson-32tm3290-original-imafkjazamdewz2x.jpeg?q=70,
Coocaa,4.3,2662,600,â‚¹32999,â‚¹73990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kikluvk0/television/y/u/r/coocaa-55s6g-original-imafybrnhtaywfyy.jpeg?q=70,
